,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,mstype
49,34,43,35,21,34,61,36,53,49,43,41,33,52,21,40,45,27,43,35,49,45,48,64,37,49,54,60,52,51,18,60,68,51,68,55,37,27,28,70,57,67,55,45,25,30,35,43,41,15,32,60,45,47,43,41,38,38,54,26,40,41,36,43,31,47,41,45,64,35,52,57,63,56,48,17,58,0
50,37,44,31,12,36,56,40,46,45,40,33,36,54,20,42,45,27,44,25,44,41,48,61,34,51,56,54,56,50,20,59,65,52,66,56,38,20,23,66,54,66,54,47,24,26,36,43,38,12,28,50,43,45,44,43,29,33,53,21,41,40,31,42,25,50,41,46,62,34,52,57,63,56,47,17,58,0
51,40,44,37,23,40,61,41,55,48,46,40,39,54,23,42,46,31,44,36,52,44,49,65,38,51,57,64,60,52,20,59,70,55,68,56,46,31,34,71,60,66,56,52,29,33,35,44,43,18,31,60,45,52,47,45,40,40,54,23,42,41,34,43,35,49,44,46,66,34,54,56,63,57,49,20,58,0
52,33,43,38,24,35,58,33,49,48,47,40,41,45,18,35,42,24,35,35,51,39,50,60,38,48,54,62,45,48,18,51,65,55,62,55,44,32,33,64,43,65,53,49,24,19,31,43,20,15,27,51,40,46,29,31,24,25,51,23,33,34,24,36,17,39,42,47,60,30,35,53,57,55,43,14,53,0
53,38,40,32,23,38,59,41,49,45,44,37,40,51,19,40,40,30,40,33,47,43,49,61,36,46,51,61,53,47,16,57,70,51,65,57,25,28,33,69,52,64,54,42,24,29,37,43,33,10,27,55,42,47,38,42,33,39,48,16,37,40,31,42,28,41,40,45,65,37,49,55,59,52,44,11,57,0
54,38,43,37,20,40,59,42,55,48,45,39,40,54,25,43,45,28,44,34,49,43,49,64,36,51,56,62,56,50,20,59,72,56,66,57,44,27,24,71,58,68,55,51,30,25,36,44,41,18,32,58,46,52,46,44,39,39,55,24,42,40,34,42,34,47,43,45,65,32,51,56,64,59,49,18,59,0
55,40,44,35,20,39,61,42,53,48,44,39,40,54,19,41,44,30,43,32,47,43,46,63,37,51,55,64,57,52,19,56,72,54,66,55,41,26,27,69,59,63,54,40,28,27,34,44,42,16,32,59,45,50,47,45,39,38,52,27,40,40,34,42,35,49,40,44,64,35,50,57,62,55,49,17,56,0
56,37,43,38,23,40,61,41,53,49,47,41,41,52,25,44,46,28,44,36,52,45,48,65,39,50,57,63,56,52,19,60,71,53,67,54,45,31,32,72,59,67,55,48,28,31,37,42,44,18,30,60,46,50,46,44,40,37,57,28,41,41,33,43,34,49,44,46,64,33,50,58,64,57,50,19,59,0
57,35,44,33,19,38,60,39,50,44,44,32,35,51,25,44,39,29,42,31,50,39,50,64,31,49,55,60,54,50,19,58,67,45,66,53,48,31,29,68,52,62,50,51,29,32,27,44,42,17,32,58,42,46,46,43,37,41,49,28,41,40,31,41,32,50,41,46,65,33,50,57,63,48,49,11,54,0
58,39,44,38,23,41,61,41,55,48,45,41,44,54,17,43,44,30,41,36,50,44,49,65,37,50,56,64,58,53,19,55,71,54,66,57,45,29,34,69,59,66,57,42,29,34,35,43,43,18,31,59,45,49,44,44,37,40,56,25,39,40,34,43,35,49,42,46,65,31,52,57,62,60,49,19,57,0
59,38,44,37,23,37,60,41,54,49,47,41,44,52,24,39,46,30,44,36,52,43,50,64,39,51,57,62,56,53,19,59,70,56,68,57,49,30,33,72,59,67,57,52,28,35,37,43,44,17,34,56,45,49,47,45,40,41,56,24,41,41,33,43,33,45,40,45,66,30,53,58,63,60,48,20,59,0
60,38,44,35,22,40,60,44,50,49,48,38,39,54,17,42,46,30,44,35,51,43,49,63,38,51,56,63,58,52,19,58,69,53,65,55,39,28,36,69,57,63,57,44,28,32,37,43,36,17,31,60,46,46,46,43,40,37,56,20,41,41,34,43,33,48,44,47,65,35,53,58,63,58,48,18,58,0
61,36,40,35,20,24,53,36,48,46,46,39,41,50,18,33,44,26,43,36,44,38,44,62,38,46,47,55,52,43,19,59,70,50,68,54,40,27,30,70,52,66,51,46,25,24,33,38,39,13,30,47,43,46,38,44,35,39,52,25,35,38,34,38,32,46,37,45,61,35,46,48,59,55,46,14,59,0
62,39,43,35,24,36,61,43,50,49,41,40,39,54,22,41,46,30,43,35,50,45,47,65,39,50,54,64,58,52,19,59,69,52,65,57,41,28,35,69,53,66,59,44,26,27,37,44,40,18,28,59,45,50,45,41,35,36,55,26,40,41,32,42,31,47,43,46,64,36,52,55,63,56,50,18,59,0
63,37,43,37,20,40,60,42,52,47,44,39,45,55,22,42,46,26,44,36,49,45,49,64,37,51,56,62,59,52,20,59,70,55,63,57,48,27,31,70,57,62,58,50,28,29,37,44,43,18,30,59,45,49,45,42,36,42,57,26,42,41,35,42,34,49,45,47,65,36,50,57,64,60,50,20,59,0
64,35,43,35,15,40,58,41,55,49,44,39,41,50,24,40,46,28,44,33,49,45,49,63,38,51,55,63,52,49,19,59,69,51,66,55,42,28,23,69,57,66,56,42,26,20,36,44,41,17,32,59,45,50,43,42,38,35,56,26,40,41,35,41,30,48,43,45,65,33,49,55,64,59,50,19,59,0
65,37,44,37,21,35,60,41,52,47,46,40,42,54,17,38,46,27,44,36,52,44,50,64,38,51,55,64,58,51,19,57,69,54,67,56,47,30,32,67,56,67,57,51,30,30,35,43,43,18,28,60,44,50,45,43,39,41,56,22,41,41,30,43,31,48,44,46,65,35,53,57,62,60,50,19,58,0
66,39,44,37,20,35,60,41,52,48,46,39,42,53,24,41,46,31,43,35,49,43,46,63,37,51,56,59,56,49,18,58,72,53,68,57,37,26,34,69,50,63,53,47,25,28,36,44,41,17,27,59,42,49,45,43,37,38,55,25,42,41,35,43,32,47,43,46,65,34,54,57,64,54,49,18,57,0
67,38,43,38,24,38,60,42,52,49,48,41,44,55,22,40,46,30,44,35,48,44,48,65,40,50,55,64,59,52,19,58,72,56,69,54,47,32,35,71,61,68,60,51,30,32,37,41,42,18,33,59,44,49,45,43,40,39,56,28,39,41,34,43,35,46,41,45,65,34,54,58,61,60,50,20,59,0
